id,miejscowosc,ulica,numer_domu,kod_pocztowy
73,Kielce,ul. Marszałka Józefa Piłsudskiego,30,25-430
74,Gliwice,ul. Lipowa,29,44-102
75,Gołąbek,ul. Szkolna,26,08-114
76,Tomaszów Lubelski,ul. Żwirki i Wigury,6,22-600
77,Kielce,ul. Elizy Orzeszkowej,26,25-408
78,Gliwice,ul. Ignacego Paderewskiego,70,44-105
79,Kielce,ul. Astronautów,5,25-337
80,Tomaszów Lubelski,ul. St. Moniuszki,51,22-600
81,Kielce,ul. Karczówkowska,8,25-019
82,Kielce,ul. Tytusa Chałubińskiego,32,25-619
83,Kielce,ul. Wielkopolska,15,25-327
84,Kielce,ul. Chęcińska,3,25-020
85,Kielce,ul. Juliusza Słowackiego,5,25-365
86,Gliwice,ul. Sztabu Powstańczego,56c,44-102
87,Łubin Kościelny,,40,17-100
88,Wilga,ul. Adama Mickiewicza,8,08-470
89,Tomaszów Lubelski,ul. Króla Zygmunta,61,22-600
90,Zamość,ul. Olchowa,11,22-400
91,Piła,ul. Staromiejska,11,64-920
92,Piła,ul. Roosevelta,12,64-920
93,Oświęcim,ul. Karola Olszewskiego,1,32-602
94,Tomaszów Lubelski,ul. Żołnierzy Września,1,22-600
95,Jasienica Dolna,,156,48-315
96,Krośniewice,ul. Łęczycka,17,99-340
97,Oświęcim,ul. Stanisławy Leszczyńskiej,8,32-600
98,Oświęcim,ul. gen. Józefa Bema,4,32-600
99,Brzeszcze,ul. Nosala,7,32-620
100,Kaliszkowice Kaliskie,,38,63-510
101,Kęty,ul. Żwirki i Wigury,27a,32-650
102,Żywiec,ul. ks. Prałata Stanisława Słonki,14,34-300
103,Cieszyn,ul. Ignacego Kraszewskiego,13a,43-400
104,Ciągowice,ul. Zwycięstwa,72,42-450
105,Przesmyki,ul. Narutowicza,18,08-109
106,Soborzyce,pl. Plac Wolności,4,42-265
107,Łekno,,14,76-037
108,Dobrzyca,,53,76-038
109,Będzino,,31,76-037
110,Mścice,ul. Szkolna,1B,76-031
111,Goniądz,pl. Plac 11 Listopada,37,19-110
112,Dobra,,490,34-642
113,Lublin,ul. Kasztelańska,31,20-810
114,Inowrocław,ul. Harcerstwa Polskiego,6A,88-100
115,Szczecin,al. Wojska Polskiego,119,70-490
116,Giżycko,ul. Jagiełły,3,11-500
117,Inowrocław,ul. Janusza Kusocińskiego,11,88-100
118,Zakrzewo,ul. Osiedlowa,25,87-707
119,Inowrocław,ul. św. Ducha,86,88-100
120,Inowrocław,ul. Wojska Polskiego,13A,88-100
121,Gliwice,ul. Norberta Barlickiego,3,44-100
122,Bytom,ul. Sądowa,5,41-902
123,Ruszów,ul. Zgorzelecka,1C,59-950
124,Bytom,ul. Bolesława Prusa,35,41-902
125,Bytom,ul. Aleja Legionów,6,41-902
126,Bytom,ul. Wrocławska,44,41-902
127,Czerwona Woda,ul. Kolejowa,22,59-940
128,Bytom,ul. Obywatelska,6,41-907
129,Bytom,ul. Strzelców Bytomskich,152,41-914
130,Bytom,ul. Oświęcimska,17,41-902
131,Bytom,ul. Wilhelma Prokopa,3,41-902
132,Bytom,ul. Szymały,122,41-933
133,Pruszków,ul. Ceramiczna,16,05-800
134,Skarżysko-Kamienna,ul. Konarskiego,17,26-110
135,Węgliniec,ul. Kochanowskiego,9,59-940
136,Węgliniec,ul. Kościuszki,2,59-940
137,Busko-Zdrój,ul. Janusza Kusocińskiego,3,28-100
138,Busko-Zdrój,ul. Bohaterów Warszawy,120,28-100
139,Busko-Zdrój,al. Adama Mickiewicza,21,28-100
140,Bytom,ul. Marszałka Józefa Piłsudskiego,71,41-902
141,Bytom,ul. Marszałka Józefa Piłsudskiego,24,41-902
142,Bytom,ul. Brzezińska,26,41-902
143,Bytom,ul. Olimpijska,1a,41-902
144,Rokitno Szlacheckie,ul. Szkolna,2,42-450
145,Wrocław,ul. Walerego Sławka,5,51-690
146,Giżycko,ul. Kolejowa,10,11-500
147,Grabowa,ul. Szkolna,37,42-450
148,Żębocin,,65,32-100
149,Skarżysko-Kamienna,ul. Zwycięzców,13,26-110
150,Łęki Strzyżowskie,,87,38-471
151,Brodnica,ul. 3 Maja,4,87-300
152,Ustrobna,,1,38-406
153,Kazimierza Wielka,ul. 1 Maja,1,28-500
154,Bielsko-Biała,ul. Karpacka,43a,43-300
155,Wojaszówka,,48,38-471
156,Bielsko-Biała,ul. Krakowska,30,43-300
157,Brodnica,ul. Kolejowa,62,87-300
158,Inowrocław,ul. Wojska Polskiego,20,88-100
159,Brodnica,ul. Nowa,34,87-300
160,Giżycko,ul. Daszyńskiego,14,11-500
161,Bytom,ul. Generała Niedźwiadka-Okulickiego,12b,41-902
162,Bytom,ul. Stanisława Olejniczaka,9,41-902
163,Bytom,ul. Stefana Czarnieckiego,2,41-902
164,Bytom,ul. Stefana Czarnieckiego,6,41-902
165,Bytom,ul. Kazimierza Pułaskiego,15,41-902
166,Osiek Łużycki,,56,59-900
167,Kamieńczyce,,24,28-500
168,Szczecin,ul. Księżnej Zofii,3,71-665
169,Bytom,ul. Arki Bożka,19,41-902
170,Bytom,ul. Wyzwolenia,125a,41-907
171,Szczecin,ul. Maciejowicka,26,70-786
172,Skarżysko-Kamienna,ul. Sportowa,30,26-110
173,Rypin,ul. 3 Maja,3,87-500
174,Gliwice,ul. Kozielska,39,44-121
175,Bytom,ul. Księdza Jerzego Popiełuszki,11,41-906
176,Bytom,ul. Zabrzańska,66,41-907
177,Bytom,ul. Orzegowska,18a,41-907
178,Bytom,ul. Józefa Nickla,12,41-908
179,Bytom,ul. Matki Ewy,9,41-923
180,Bytom,ul. Reptowska,26,41-923
181,Bytom,ul. Świętych Cyryla i Metodego,52,41-909
182,Bytom,ul. Świętochłowicka,1,41-909
183,Bytom,ul. Maurycego Mochnackiego,53,41-907
184,Bytom,ul. Podhalańska,13,41-907
185,Bytom,ul. Konstytucji,1,41-905
186,Bytom,ul. 11-go Listopada,1c,41-933
187,Bytom,ul. Tysiąclecia,5,41-933
188,Bytom,pl. Stanisława Witkiewicza,2,41-936
189,Bytom,ul. Bronisława Czecha,34,41-936
190,Bytom,ul. 9-go Maja,9,41-935
191,Bytom,ul. Nowa,66,41-908
192,Bytom,ul. Łużycka,12b,41-902
193,Bytom,ul. Strzelców Bytomskich,248a,41-933
194,Brzeg,ul. Poprzeczna,3c,49-300
195,Giżycko,ul. 3 Maja,21,11-500
196,Czaplinek,ul. Pławieńska,4-6,78-550
197,Szczecin,ul. Tomaszowska,5,71-671
198,Wodzisław Śląski,ul. 26 Marca,66,44-300
199,Drawsko Pomorskie,ul. Warmińska,1,78-500
200,Sokolina,,19,28-506
201,Żywiec,ul. Marii Skłodowskiej-Curie,2,34-300
202,Osiny,,101,27-220
203,Mysłowice,ul. Józefa Wybickiego,79,41-400
204,Trębowiec Duży,,54,27-220
205,Krzynowłoga Mała,ul. Szkolna,4,06-316
206,Czarnocin,,1,28-506
207,Mysłowice,ul. Generała Jerzego Ziętka,116,41-400
208,Turek,ul. Aleja Józefa Piłsudskiego,5,62-700
209,Bytom,pl. Jana III Sobieskiego,1,41-902
210,Czarnocin,,67,28-506
211,Mysłowice,ul. 3-go Maja,19,41-400
212,Żywiec,ul. Powstańców Śląskich,4,34-300
213,Bojanów,ul. Parkowa,11,37-433
214,Wrocław,ul. Jedności Narodowej,46A,50-258
215,Bytom,ul. Stanisława Webera,6,41-902
216,Czarnocin,,1,28-506
217,Turek,ul. Poduchowne,12,62-700
218,Mysłowice,ul. Piastów Śląskich,8,41-408
219,Żywiec,ul. Dworcowa,26,34-300
220,Inowrocław,ul. Bolesława Krzywoustego,23,88-100
221,Mysłowice,ul. Kosztowska,46,41-409
222,Trójca,,77,59-900
223,Czarny Bór,ul. Sportowa,44,58-379
224,Inowrocław,ul. Armii Krajowej,16,88-100
225,Żelistrzewo,ul. Kasztanowa,6,84-100
226,Lińsk,,37,89-530
227,Śliwiczki,,97,89-530
228,Śliwice,ul. Szkolna,9,89-530
229,Śliwice,ul. Pocztowa,2,89-530
230,Broniewice,,3,88-160
231,Brodnica,ul. Stanisława Wyspiańskiego,12a,87-300
232,Mikstat,ul. Grabowska,13,63-510
233,Mysłowice,ul. Piastowska,7,41-400
234,Łoniowa,,210,32-854
235,Skarżysko-Kamienna,ul. Konarskiego,17,26-110
236,Rymanów-Zdrój,ul. PCK,1,38-481
237,Stary Garbów,,82,27-620
238,Skarżysko-Kamienna,ul. Sportowa,30,26-110
239,Skarżysko-Kamienna,ul. Norwida,3,26-110
240,Żywiec,ul. Moszczanicka,26,34-300
241,Skarżysko-Kamienna,ul. Zielna,29,26-110
242,Żywiec,ul. Niezapominajki,14,34-300
243,Mysłowice,ul. 1000-lecia Państwa Polskiego,6,41-400
244,Kaliszkowice Ołobockie,,1,63-510
245,Mysłowice,ul. Mikołaja Reja,28,41-404
246,Legnica,ul. Andromedy,14,59-220
247,Szczecin,ul. Jasna,74,70-777
248,Kock,ul. Warszawska,41,21-150
249,Giżycko,ul. Gimnazjalna,1,11-500
250,Czechówka,ul. Szkolna,72,32-406
251,Mściów,,100,27-600
252,Żywiec,ul. Kazimierza Tetmajera,77,34-300
253,Rypin,ul. Młyńska,12,87-500
254,Międzyrzec Podlaski,ul. Warszawska,40,21-560
255,Międzyrzec Podlaski,ul. Partyzantów,8,21-560
256,Międzyrzec Podlaski,ul. Leśna,2,21-560
257,Międzyrzec Podlaski,ul. Leśna,2A,21-560
258,Żywiec,ul. Sporyska,39,34-300
259,Grodków,ul. Kasztanowa,3,49-200
260,Rypin,ul. Młyńska,3,87-500
261,Żywiec,ul. Grunwaldzka,17,34-300
262,Rypin,ul. Wojska Polskiego,11,87-500
263,Rypin,ul. Gustawa Sommera,16,87-500
264,Żywiec,ul. Poniatowskiego,12,34-300
265,Goździków,ul. Główna,1A,26-434
266,Żywiec,ul. Browar Kolonia,44,34-300
267,Cisie,ul. Mostowa,61,05-074
268,Koszyce Małe,ul. Oświatowa,1,33-111
269,Kazimierza Wielka,ul. Tadeusza Kościuszki,9,28-500
270,Żywiec,os. Osiedle Parkowe,16,34-300
271,Mysłowice,ul. Górnicza,4,41-400
272,Mysłowice,ul. Wielka Skotnica,2,41-400
273,Siewierz,ul. gen. Władysława Sikorskiego,17,42-470
274,Gałkowice,,19,27-620
275,Kielce,ul. Hetmana Stanisława Żółkiewskiego,12,25-130
276,Rychtal,ul. Kępińska,13,63-630
277,Drożki,,34,63-630
278,Stupsk,ul. Henryka Sienkiewicza,11,06-561
279,Żywiec,ul. Komorowskich,97,34-300
280,Podolsze,ul. Długa,47,32-640
281,Tarnobrzeg,ul. Stanisława Jachowicza,4b,39-400
282,Kock,ul. Marcina Stępnia,6,21-150
283,Szczecin,ul. Różowa,24,70-781
284,Mysłowice,ul. Laryska,101,41-404
285,Morawy,,2,06-560
286,Żywiec,ul. Browar Kolonia,7a,34-300
287,Wyszyny Kościelne,ul. Szkolna,22,06-561
288,Brzeg,ul. Ofiar Katynia,25,49-300
289,Mysłowice,ul. ks. Kardynała Augusta Hlonda,14,41-400
290,Kowale Oleckie,ul. Witosa,6,19-420
291,Wrocław,ul. Tadeusza Kościuszki,131,50-440
292,Mysłowice,ul. Polskiego Czerwonego Krzyża,209b,41-409
293,Gdynia,ul. adm. J. Unruga,86,81-181
294,Gdynia,ul. Starogardzka,10,81-050
295,Gdynia,ul. Ignacego Krasickiego,4,81-384
296,Turza,,280,33-167
297,Gdynia,ul. płk. Stanisława Dąbka,199a,81-155
298,Gdynia,ul. Tatrzańska,18,81-313
299,Gdynia,ul. Demptowska,42,81-094
300,Ciechocinek,ul. Mikołaja Kopernika,1,87-720
301,Szczecin,ul. Henryka Wieniawskiego,17,71-130
302,Płoniawy-Bramura,,80A,06-210
303,Węgrzynowo,,150,06-211
304,Chodkowo Wielkie,,29,06-210
305,Aleksandrów Kujawski,ul. gen. Władysława Sikorskiego,2,87-700
306,Ostrowiec Świętokrzyski,ul. Jana Rosłońskiego,1,27-400
307,Giżycko,ul. Drzymały,9,11-500
308,Kowale Oleckie,ul. Kościuszki,88,19-420
309,Niwka,,25,33-130
310,Niwka,,25,33-130
311,Aleksandrów Kujawski,ul. Stanisława Wyspiańskiego,4,87-700
312,Aleksandrów Kujawski,ul. gen. Władysława Sikorskiego,3,87-700
313,Gdynia,ul. Konstantego Maciejewicza,9,81-189
314,Gdynia,ul. płk. Stanisława Dąbka,167,81-167
315,Długopole Dolne,,36,57-520
316,Biskupice Radłowskie,ul. Szkolna,2,33-130
317,Gdynia,ul. Wiejska,30,81-068
318,Bytom,ul. Wrocławska,120,41-902
319,Bytom,ul. Powstańców Śląskich,10,41-902
320,Bytom,ul. Andrzeja Frycza Modrzewskiego,5,41-907
321,Bytom,ul. Stefana Żeromskiego,26,41-902
322,Bytom,ul. Świętochłowicka,10,41-909
323,Bytom,ul. Powstańców Śląskich,10,41-902
324,Szczecin,ul. Miernicza,10,70-823
325,Rzepiennik Biskupi,,223,33-163
326,Rzepiennik Strzyżewski,,402,33-163
327,Rzepiennik Biskupi,,292,33-163
328,Radom,ul. Juliusza Słowackiego,84,26-600
329,Szczecin,ul. Jacka Malczewskiego,24,71-612
330,Dzikowiec,,95,57-432
331,Rzepiennik Suchy,,176,33-163
332,Pławnica,,2,57-500
333,Kraków,ul. Mieczysława Wrony,115,30-399
334,Szczecin,ul. 9 Maja,13,70-136
335,Góra,,4,88-101
336,Zielona Góra,ul. Kazimierza Wielkiego,10,65-047
337,Inowrocław,al. 800-lecia Inowrocławia,3,88-100
338,Luboniek,,73,62-650
339,Stara Łomnica,,64,57-521
340,Kraków,os. Osiedle Oświecenia,30,31-636
341,Orłowo,,40,88-110
342,Tupadły,,95,88-101
343,Kraków,ul. Józefa Dietla,70,31-073
344,Kłodawa,ul. 3 Maja,5,62-650
345,Gierlachów,,96,27-600
346,Słupcza,,76,27-620
347,Brzechów,,41,26-021
348,Oświęcim,ul. Stanisławy Leszczyńskiej,7,32-600
349,Brzechów,,41,26-021
350,Rząsiny,,95,59-620
351,Inowrocław,ul. Kasztelańska,17,88-100
352,Marki,ul. Kasztanowa,21,05-270
353,Gdynia,ul. Janusza Korczaka,22,81-472
354,Gdynia,ul. Sandomierska,3,81-508
355,Andrychów,ul. Ferdynanda Pachla,16,34-120
356,Skarżysko-Kamienna,ul. Norwida,3,26-110
357,Skarżysko-Kamienna,ul. Zielna,29,26-110
358,Skarżysko-Kamienna,ul. Podjazdowa,21,26-110
359,Głodno,,20,62-513
360,Turek,ul. Aleja Józefa Piłsudskiego,5,62-700
361,Nowa Wieś Ujska,,1,64-850
362,Gdynia,ul. gen. Józefa Hallera,37,81-452
363,Gdynia,ul. kadm. Włodzimierza Brunona Steyera,2,81-175
364,Gdynia,ul. Widna,15,81-543
365,Gdynia,ul. Władysława IV,58,81-384
366,Gdynia,ul. Kapitańska,15,81-249
367,Mysłowice,ul. Laryska,9,41-404
368,Mysłowice,ul. Marii Konopnickiej,1,41-404
369,Skarżysko-Kamienna,ul. Rynek,63,26-110
370,Mysłowice,ul. Bernarda Wały,3,41-412
371,Mysłowice,ul. Stanisława Wyspiańskiego,16a,41-400
372,Skarżysko-Kamienna,ul. Kossaka,5,26-110
373,Mysłowice,ul. Armii Krajowej,28,41-400
374,Skarżysko-Kamienna,ul. Paryska,223,26-110
375,Gdynia,ul. Mikołaja Kopernika,34,81-424
376,Kurdwanów,,35,96-513
377,Mysłowice,ul. Portowa,11a,41-400
378,Krzemieniewo,ul. Spółdzielcza,48,64-120
379,Garzyn,ul. Leszczyńska,50,64-120
380,Mysłowice,ul. Gwarków,22,41-400
381,Skarżysko-Kamienna,ul. Spółdzielcza,18,26-110
382,Mysłowice,ul. Janowska,2,41-400
383,Kamionna,,263,32-732
384,Wadowice Górne,,133E,39-308
385,Prudnik,ul. Podgórna,9,48-200
386,Kozłów Szlachecki,,54,96-513
387,Kościerzyce,,31,49-314
388,Gdynia,ul. adm. J. Unruga,53,81-181
389,Kierlikówka,,4,32-732
390,Prudnik,ul. Szkolna,12,48-200
391,Żołynia,ul. Białobrzeska,230A,37-110
392,Jagatowo,ul. Żurawia,66,83-010
393,Wróblowice,,142,32-840
394,Bobrowniki,ul. Wyzwolenia,16,87-617
395,Rychwałd,,120,33-171
396,Nowa Sucha,,16,96-513
397,Zamość,ul. Akademicka,8,22-400
398,Legnica,ul. Adama Mickiewicza,3,59-220
399,Ruszelczyce,,59A,37-755
400,Szczecin,ul. Ks. bpa Władysława Bandurskiego,56,71-685
401,Kraków,ul. Skotnicka,86,30-394
402,Gliwice,ul. Jana Kilińskiego,1,44-122
403,Smólnik,,20a,62-513
404,Mysłowice,ul. Niepodległości,44,41-400
405,Kraków,ul. Romana Prawocheńskiego,7,31-998
406,Szczecin,ul. Farna,2a,70-541
407,Skarżysko-Kamienna,ul. Sportowa,34,26-110
408,Skarżysko-Kamienna,ul. Zielna,27,26-110
409,Skarżysko-Kamienna,ul. Okrzei,4,26-110
410,Budzów,ul. Henryka Pobożnego,1,57-214
411,Przedborowa,,100,57-215
412,Zielona Góra,ul. Henryka Sienkiewicza,10,65-443
413,Kraków,ul. Senatorska,35,30-106
414,Skarżysko-Kamienna,ul. Sikorskiego,17,26-110
415,Gdynia,ul. Lubawska,7,81-066
416,Gdynia,ul. Miodowa,16,81-558
417,Borowo,,12,62-513
418,Kamieniec Ząbkowicki,ul. Zamkowa,4,57-230
419,Legnica,ul. Bolesława Chrobrego,13,59-220
420,Mysłowice,ul. Bolesława Prusa,5,41-400
421,Gdynia,ul. Chwaszczyńska,28,81-395
422,Gdynia,ul. Bosmańska,26A,81-116
423,Gdynia,ul. Jana z Kolna,29,81-354
424,Domostawa,,79,37-405
425,Chocianowice,,78,46-280
426,Gdynia,ul. ks. Stanisława Zawackiego,5,81-514
427,Gdynia,ul. Augustyna Necla,14,81-337
428,Gdynia,ul. Kcyńska,6,81-005
429,Nowa Sól,ul. Kościuszki,28,67-100
430,Mysłowice,ul. Armii Krajowej,19,41-400
431,Skarżysko-Kamienna,ul. Sezamkowa,23,26-110
432,Gdynia,ul. Tatarczana,4,81-587
433,Gdynia,ul. Pusta,9,81-078
434,Legnica,ul. Głogowska,50,59-220
435,Lipnica Dolna,,54,38-200
436,Janowiec Wielkopolski,ul. 3 Maja,30,88-430
437,Pińczów,ul. Nowy Świat,2,28-400
438,Pruszków,ul. Zachodnia,22,05-800
439,Kraków,ul. Młyńska Boczna,4,31-470
440,Cieśle,,63,29-105
441,Koleczkowo,ul. Wejherowska,24,84-207
442,Zamość,ul. Szczebrzeska,41,22-400
443,Książenice,al. E. Marylskiego,3,05-825
444,Zamość,ul. Stefana Okrzei,6,22-400
445,Kolbudy,ul. gen. Józefa Wybickiego,33,83-050
446,Borków,ul. Klonowa,72,26-021
447,Borków,ul. Klonowa,72,26-021
448,Lubin,ul. Bolesława Prusa,4,59-300
449,Zamość,ul. Peowiaków,30A,22-400
450,Słotwina,ul. Księdza Ferdynanda Sznajdrowicza,11,34-324
451,Przewodowo Poduchowne,,21,06-126
452,Skaszewo Włościańskie,,25,06-126
453,Radom,ul. Juliusza Słowackiego,84,26-600
454,Gołąbek,ul. Szkolna,26,08-114
455,Czepielowice,,31,49-314
456,Legnica,ul. Mała,4,59-220
457,Brodnica,ul. Matejki,7,87-300
458,Stara Wieś,ul. Dolna,12,43-330
459,Kęty,ul. Żwirki i Wigury,27a,32-650
460,Mierzęcice,ul. Bankowa,24,42-460
461,Bielsk Podlaski,ul. Szkolna,12,17-100
462,Bolesławiec,ul. Komuny Paryskiej,6,59-700
463,Sulechów,os. Zacisze,3,66-100
464,Przeczyce,ul. Tysiąclecia,6,42-460
465,Mysłowice,ul. Edmunda Osmańczyka,2,41-408
466,Radomin,,14,87-404
467,Darzlubie,ul. Brzozowa,8,84-100
468,Głogówek,ul. Batorego,2,48-250
469,Głogówek,ul. Powstańców,34,48-250
470,Prudnik,ul. Gimnazjalna,2,48-200
471,Prudnik,ul. Młyńska,1,48-200
472,Prudnik,ul. Kościuszki,76,48-200
473,Mysłowice,ul. Franciszka Kawy,4,41-412
474,Rybnik,ul. Orzepowicka,15a,44-217
475,Mysłowice,ul. Polskiego Czerwonego Krzyża,209b,41-409
476,Mysłowice,ul. Pocztowa,20,41-408
477,Pińczów,ul. Spółdzielcza,6,28-400
478,Mysłowice,ul. Ignacego Łukasiewicza,34,41-409
479,Drawsko Pomorskie,ul. Połczyńska,7,78-500
480,Mysłowice,ul. Gabrieli Zapolskiej,1,41-400
481,Brzeg,ul. Jana Pawła II,28,49-300
482,Brzeg,ul. Chorążych,42,49-300
483,Młock,,72,06-456
484,Kraszewo,,57A,06-456
485,Łaguszew,,27A,99-414
486,Szczecin,ul. Pomorska,150,70-812
487,Iława,ul. 1 Maja,14,14-200
488,Strzelno,ul. Gimnazjalna,7,88-320
489,Brodnica,ul. Kamionka,16,87-300
490,Bielkówko,ul. Brunona Gregorkiewicza,11,83-050
491,Gdynia,ul. Krawiecka,35,81-178
492,Prudnik,ul. Parkowa,10,48-200
493,Zakrzewo,ul. Długa,57,62-070
494,Dąbrowa Wielka,,19,18-220
495,Skórzewo,ul. Kolejowa,21,60-185
496,Szczecin,ul. Andrzeja Małkowskiego,12,70-306
497,Chrzypsko Wielkie,ul. Szkolna,34,64-412
498,Gdynia,ul. Narcyzowa,3,81-653
499,Gdynia,ul. inż. J. Śmidowicza,59,81-127
500,Borowie,ul. Aleksandra Sasimowskiego,3,08-412
501,Czyżew,ul. Przemysłowa,8,18-220
502,Dąbrowa,ul. Szkolna,41,62-069
503,Wrocław,ul. Kleczkowska,35,50-211
504,Legnica,ul. Fryderyka Skarbka,4,59-220
505,Legnica,ul. Fryderyka Skarbka,4,59-220
506,Lublewo Gdańskie,ul. Szkolna,5,83-050
507,Krapkowice,ul. Żeromskiego,34,47-303
508,Dopiewiec,ul. Szkolna,7,62-070
509,Szczecin,ul. Kingi,2,71-032
510,Głosków,ul. Szkolna,6,08-412
511,Kraków,ul. Franciszka Bujaka,17,30-611
512,Brzeg,ul. Słowiańska,18,49-300
513,Grodków,ul. Krakowska,31,49-200
514,Wrocław,pl. Muzealny,20,50-035
515,Kalety,ul. ks. Rogowskiego,43,42-660
516,Zawichost,ul. Szkolna,15,27-630
517,Sarnów,ul. Szkolna,5,42-512
518,Kraków,os. Osiedle Dywizjonu 303,12,31-872
519,Parlin,,38,88-306
520,Grzegorzew,ul. Szkolna,23,62-640
521,Wyszyny,ul. Czarnkowska,6,64-834
522,Wrocław,ul. Poznańska,26,53-630
523,Gdynia,ul. gen. Marii Wittekówny,2,81-173
524,Piaseczno,ul. Świętojańska,18,05-500
525,Buków,,53,66-100
526,Wisła,ul. Kopydło,74,43-460
527,Gdynia,ul. Orłowska,57,81-542
528,Gdynia,ul. płk. Stanisława Dąbka,207,81-155
529,Pręgowo,ul. prof. Bronisława Bukowskiego,3,83-050
530,Wałbrzych,ul. Bolesława Limanowskiego,9,58-300
531,Wałbrzych,ul. Henryka Jordana,4,58-305
532,Szczecin,al. Piastów,12,70-331
533,Legnica,ul. Sejmowa,5A,59-220
534,Budzyń,os. Wierzbowe,7a,64-840
535,Szczecin,ul. Jagiellońska,41,70-382
536,Czyżów Szlachecki,,2,27-630
537,Szczecin,ul. Eugeniusza Romera,6,71-246
538,Wyszyny,ul. Raczyńskich,11,64-834
539,Warszawa,ul. Ciupagi,1,03-016
540,Turzany,,6,88-110
541,Katowice,ul. Obroki,87,40-833
542,Gdynia,ul. Chylońska,227,81-007
543,Gdynia,ul. Energetyków,13a,81-184
544,Gdynia,ul. Grabowo,2,81-265
545,Łukta,ul. Warszawska,17,14-105
546,Sztum,ul. Nowowiejskiego,14,82-400
547,Kolbudy,ul. gen. Józefa Wybickiego,29B,83-050
548,Jaksice,ul. Szosa Bydgoska,11,88-181
549,Lubin,ul. Odrodzenia,34,59-300
550,Stargard,ul. Bolesława Limanowskiego,"7, 9",73-110
551,Kruszwica,ul. Jana Kasprowicza,7,88-150
552,Suwałki,ul. Wojska Polskiego,9,16-400
553,Zadzim,ul. Szkolna,20,99-232
554,Wleń,ul. Dworcowa,10,59-610
